"MATRICOLA","CODICE","ESAME","DATA","VOTO","TIPO"
1768849,"0100085","FISICA GENERALE II","31/10/1995",26,"Superato"
1768849,"0100114","GEOMETRIA I","08/10/1992",24,"Superato"
1768849,"0100115","GEOMETRIA II","09/11/1994",20,"Superato"
1768849,"0100135","LOGICA MATEMATICA","14/02/1995",30,"Superato"
1768849,"0100140","MECCANICA RAZIONALE","01/07/1999",28,"Superato"
1768849,"0100171","STATISTICA MATEMATICA","17/07/1996",30,"Superato"
1768849,"0100175","TEORIA E APPLICAZ.MACCHINE CALCOLATRICI","15/04/1996",30,"Superato"
1768849,"0100242","ANALISI NUMERICA","30/04/1997",23,"Superato"
1768849,"0100409","LINGUAGGI PROGRAMMATIVI","26/11/1998",28,"Superato"
1783984,"0100001","ALGEBRA","08/06/1992",20,"Superato"
1783984,"0100004","ANALISI MATEMATICA I","10/06/1993",26,"Superato"
1783984,"0100006","ANALISI MATEMATICA II","15/06/1994",22,"Superato"
1783984,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","24/07/1997",27,"Superato"
1783984,"0100021","CALCOLI NUMERICI E GRAFICI","18/09/1995",20,"Superato"
1783984,"0100084","FISICA GENERALE I","17/11/1993",28,"Superato"
1783984,"0100085","FISICA GENERALE II","03/11/1994",30,"Superato"
1783984,"0100114","GEOMETRIA I","16/02/1993",26,"Superato"
1783984,"0100115","GEOMETRIA II","19/07/1994",19,"Superato"
1783984,"0100135","LOGICA MATEMATICA","22/09/1994",30,"Superato"
1783984,"0100140","MECCANICA RAZIONALE","05/02/1996",23,"Superato"
1783984,"0100171","STATISTICA MATEMATICA","06/04/1998",30,"Superato"
1783984,"0100175","TEORIA E APPLICAZ.MACCHINE CALCOLATRICI","30/04/1996",26,"Superato"
1783984,"0100242","ANALISI NUMERICA","30/04/1997",23,"Superato"
1783984,"0100409","LINGUAGGI PROGRAMMATIVI","30/04/1998",30,"Superato"
1830773,"0100001","ALGEBRA","02/11/1992",23,"Superato"
1830773,"0100004","ANALISI MATEMATICA I","30/06/1992",25,"Superato"
1830773,"0100006","ANALISI MATEMATICA II","06/10/1994",22,"Superato"
1830773,"0100020","CALCOLO DELLE PROBABILITA'","15/06/2000",30,"Superato"
1830773,"0100084","FISICA GENERALE I","10/11/1993",26,"Superato"
1830773,"0100085","FISICA GENERALE II","31/10/1995",30,"Superato"
1830773,"0100114","GEOMETRIA I","07/06/1993",25,"Superato"
1830773,"0100115","GEOMETRIA II","09/11/1994",24,"Superato"
