sesso,prov,comune,istituto,tipo,annomat,votomat,score,idtest
F,48,17,Liceo Linguistico,Liceo Linguistico,2013,93,18,28
M,48,17,Liceo Linguistico,Liceo Linguistico,2013,73,10.25,28
F,48,6,Liceo Linguistico,Liceo Linguistico,2013,78,14.25,28
M,47,12,Liceo Linguistico,Liceo Linguistico,2013,83,13.25,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2013,83,15,28
F,47,2,Liceo Linguistico,Liceo Linguistico,2013,86,16.5,28
M,60,85,Liceo Linguistico,Liceo Linguistico,2012,75,13.5,28
F,47,9,Liceo Linguistico,Liceo Linguistico,2013,85,16,28
F,47,9,Liceo Linguistico,Liceo Linguistico,2013,68,13.75,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2008,75,7.75,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2012,66,5,28
F,48,38,Liceo Linguistico,Liceo Linguistico,2013,70,3.5,28
F,51,1,Liceo Linguistico,Liceo Linguistico,2013,100,13,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2013,82,15.25,28
M,51,2,Liceo Linguistico,Liceo Linguistico,2013,77,10,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2013,83,5,28
M,51,2,Liceo Linguistico,Liceo Linguistico,2013,71,12,28
F,47,8,Liceo Linguistico,Liceo Linguistico,2013,97,18.5,28
F,51,33,Liceo Linguistico,Liceo Linguistico,2013,80,11,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2013,63,9.25,28
M,48,41,Liceo Scientifico,Liceo Scientifico,2011,61,11.5,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2012,64,7,28
F,51,26,Liceo Scientifico,Liceo Scientifico,2012,70,16.5,28
F,48,22,Liceo Scientifico,Liceo Scientifico,2012,74,16.75,28
F,48,14,Liceo Scientifico,Liceo Scientifico,2012,78,16.5,28
M,48,4,Liceo Scientifico,Liceo Scientifico,2012,61,17,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2012,69,16,28
M,48,35,Liceo Scientifico,Liceo Scientifico,2009,100,21.75,28
F,48,37,Liceo Scientifico,Liceo Scientifico,2013,100,21.5,28
M,47,13,Liceo Scientifico,Liceo Scientifico,2013,80,19.25,28
M,76,88,Liceo Scientifico,Liceo Scientifico,2013,80,14,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,86,15,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2013,62,9.25,28
F,28,60,Liceo Scientifico,Liceo Scientifico,2013,72,13,28
M,65,130,Liceo Scientifico,Liceo Scientifico,2011,70,13.5,28
M,48,41,Liceo Scientifico,Liceo Scientifico,2011,75,23,28
M,54,1,Liceo Scientifico,Liceo Scientifico,2010,61,11.25,28
M,50,32,Liceo Scientifico,Liceo Scientifico,2013,81,14.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,94,15.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,74,12,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,60,12.75,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2013,69,11.75,28
M,48,30,Liceo Scientifico,Liceo Scientifico,2013,70,11,28
M,48,1,Liceo Scientifico,Liceo Scientifico,2013,65,16,28
F,51,12,Liceo Scientifico,Liceo Scientifico,2013,70,16.5,28
M,48,22,Liceo Scientifico,Liceo Scientifico,2013,90,19.5,28
M,65,134,Liceo Scientifico,Liceo Scientifico,2013,66,9.25,28
M,48,43,Liceo Scientifico,Liceo Scientifico,2013,78,12,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,64,9.25,28
M,47,17,Liceo Scientifico,Liceo Scientifico,2013,99,20.25,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2012,72,15,28
M,47,14,Liceo Scientifico,Liceo Scientifico,2013,67,15.75,28
F,78,33,Liceo Scientifico,Liceo Scientifico,2013,92,16.5,28
M,48,38,Liceo Scientifico,Liceo Scientifico,1996,96.6667,21.5,28
M,48,21,Liceo Scientifico,Liceo Scientifico,2013,68,10.5,28
M,50,29,Liceo Scientifico,Liceo Scientifico,2013,66,21.5,28
F,48,21,Liceo Scientifico,Liceo Scientifico,2013,70,12,28
F,51,22,Liceo Scientifico,Liceo Scientifico,2013,75,7.25,28
M,48,44,Liceo Scientifico,Liceo Scientifico,2013,78,8.75,28
F,64,101,Liceo Scientifico,Liceo Scientifico,2013,77,15.25,28
F,51,2,Liceo Scientifico,Liceo Scientifico,2012,60,5.5,28
M,51,20,Liceo Scientifico,Liceo Scientifico,2013,73,12,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,77,16,28
F,47,14,Liceo Scientifico,Liceo Scientifico,2013,85,8.75,28
F,48,24,Liceo Scientifico,Liceo Scientifico,2013,87,14,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,69,16.5,28
M,49,9,Liceo Scientifico,Liceo Scientifico,2012,82,21.5,28
F,48,6,Liceo Scientifico,Liceo Scientifico,2013,66,10.5,28
M,51,39,Liceo Scientifico,Liceo Scientifico,2011,72,19.5,28
M,88,12,Liceo Scientifico,Liceo Scientifico,2013,66,11.5,28
F,51,26,Liceo Scientifico,Liceo Scientifico,2013,83,15.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,81,21.75,28
M,48,6,Liceo Scientifico,Liceo Scientifico,2013,67,17.5,28
M,48,42,Liceo Scientifico,Liceo Scientifico,2013,70,18.25,28
M,47,5,Liceo Scientifico,Liceo Scientifico,2013,68,10,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2012,73,16,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,70,15.75,28
M,48,22,Liceo Scientifico,Liceo Scientifico,2013,76,20.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,60,16.75,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,71,10.75,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,72,17.75,28
F,48,33,Liceo Scientifico,Liceo Scientifico,2013,60,8.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,75,12.75,28
M,48,44,Liceo Scientifico,Liceo Scientifico,2011,81,20.5,28
F,51,2,Liceo Scientifico,Liceo Scientifico,2011,68,16.75,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,68,11.5,28
F,48,42,Liceo Scientifico,Liceo Scientifico,2013,81,16.25,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,78,19.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,67,7.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,95,12.5,28
F,48,44,Liceo Scientifico,Liceo Scientifico,2012,84,18.25,28
F,71,49,Liceo Scientifico,Liceo Scientifico,2013,73,8.75,28
M,100,3,Liceo Scientifico,Liceo Scientifico,2013,63,13.5,28
F,100,3,Liceo Scientifico,Liceo Scientifico,2013,85,12.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,70,9.25,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2013,92,19.5,28
M,88,9,Liceo Scientifico,Liceo Scientifico,2012,86,17,28
F,47,12,Liceo Scientifico,Liceo Scientifico,2013,65,13.75,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,74,10,28
M,48,43,Liceo Scientifico,Liceo Scientifico,2013,79,11.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,1994,74,20,28
M,48,43,Liceo Scientifico,Liceo Scientifico,2013,77,18.25,28
F,47,14,Liceo Scientifico,Liceo Scientifico,2013,75,20.75,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,78,15.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,71,9.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2009,72,10,28
M,48,41,Liceo Scientifico,Liceo Scientifico,2013,85,17,28
F,78,108,Liceo Scientifico,Liceo Scientifico,2013,80,1,28
M,51,2,Liceo Scientifico,Liceo Scientifico,2013,85,20.25,28
F,48,2,Liceo Scientifico,Liceo Scientifico,2013,87,17,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,62,15.75,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,72,10.75,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,63,7,28
M,48,38,Liceo Scientifico,Liceo Scientifico,2013,80,17.75,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,83,14.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,75,8.5,28
M,51,2,Liceo Scientifico,Liceo Scientifico,2013,70,15,28
M,48,1,Liceo Scientifico,Liceo Scientifico,2013,66,15.75,28
M,48,28,Liceo Scientifico,Liceo Scientifico,2013,93,18.25,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,77,14.25,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2010,75,17,28
F,54,51,Liceo Scientifico,Liceo Scientifico,2013,73,10.75,28
M,48,5,Liceo Scientifico,Liceo Scientifico,2013,78,16,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,82,9.5,28
M,51,26,Liceo Scientifico,Liceo Scientifico,2013,92,11,28
M,48,14,Liceo Scientifico,Liceo Scientifico,2013,73,10.75,28
M,65,17,Liceo Scientifico,Liceo Scientifico,2013,70,6.25,28
M,101,10,Liceo Scientifico,Liceo Scientifico,2013,70,12,28
M,101,10,Liceo Scientifico,Liceo Scientifico,2013,90,19.75,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,90,16.5,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,71,11,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,75,9,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,76,15.25,28
M,51,29,Liceo Scientifico,Liceo Scientifico,0,80,15.5,28
M,48,35,Liceo Scientifico,Liceo Scientifico,2013,67,13.25,28
M,71,13,Liceo Scientifico,Liceo Scientifico,2013,83,5,28
F,54,13,Liceo Scientifico,Liceo Scientifico,2013,82,11.25,28
F,76,57,Liceo Scientifico,Liceo Scientifico,2013,68,13.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,87,16.25,28
M,48,18,Liceo Scientifico,Liceo Scientifico,2013,72,13.75,28
F,37,29,Liceo Scientifico,Liceo Scientifico,2013,77,12,28
M,48,43,Liceo Scientifico,Liceo Scientifico,2013,73,18.25,28
M,51,30,Liceo Scientifico,Liceo Scientifico,2013,95,18.75,28
F,48,17,Liceo Scientifico,Liceo Scientifico,1991,76.6667,15.75,28
M,72,20,Liceo Scientifico,Liceo Scientifico,2011,75,17.75,28
M,100,5,Liceo Scientifico,Liceo Scientifico,0,60,14.25,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2013,80,11.75,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,88,20.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,66,15.5,28
F,48,4,Liceo Scientifico,Liceo Scientifico,2013,85,16,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,70,21,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,62,9.75,28
M,53,11,Liceo Scientifico,Liceo Scientifico,2013,78,14.25,28
F,51,2,Liceo Scientifico,Liceo Scientifico,2013,80,16.25,28
M,84,9,Liceo Scientifico,Liceo Scientifico,2012,80,13.75,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,65,14,28
F,48,6,Liceo Scientifico,Liceo Scientifico,2012,70,10.25,28
F,48,22,Liceo Scientifico,Liceo Scientifico,2013,68,7.75,28
F,46,33,Liceo Scientifico,Liceo Scientifico,2013,84,13.75,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,72,16.25,28
F,100,6,Liceo Scientifico,Liceo Scientifico,2013,64,18,28
M,51,29,Liceo Scientifico,Liceo Scientifico,2013,75,14,28
M,48,1,Liceo Scientifico,Liceo Scientifico,2013,66,13.75,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,67,20.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,77,6.5,28
F,48,5,Liceo Scientifico,Liceo Scientifico,2013,64,9.5,28
F,48,14,Liceo Scientifico,Liceo Scientifico,2013,78,16,28
M,48,5,Liceo Scientifico,Liceo Scientifico,2013,60,9.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,80,17,28
F,87,13,Liceo Scientifico,Liceo Scientifico,2013,60,5.5,28
F,51,2,Liceo Scientifico,Liceo Scientifico,2013,82,8.75,28
M,47,14,Liceo Scientifico,Liceo Scientifico,2013,68,10.75,28
M,47,14,Liceo Scientifico,Liceo Scientifico,2013,83,15,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,73,8.25,28
M,74,17,Liceo Scientifico,Liceo Scientifico,2013,81,10.25,28
M,47,14,Liceo Scientifico,Liceo Scientifico,2013,78,20.25,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,72,14.25,28
F,51,31,Liceo Scientifico,Liceo Scientifico,2013,83,14.75,28
M,48,21,Liceo Scientifico,Liceo Scientifico,2013,71,17,28
M,47,9,Liceo Scientifico,Liceo Scientifico,2013,60,13.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,80,16.25,28
M,51,39,Liceo Scientifico,Liceo Scientifico,2013,70,18.75,28
M,51,5,Liceo Scientifico,Liceo Scientifico,2013,72,19.75,28
M,51,5,Liceo Scientifico,Liceo Scientifico,2013,62,14,28
F,48,41,Liceo Scientifico,Liceo Scientifico,2013,85,16,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2012,80,13.5,28
M,48,43,Liceo Scientifico,Liceo Scientifico,2013,82,23,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,61,10.25,28
M,81,12,Liceo Scientifico,Liceo Scientifico,2013,88,15.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,72,17.75,28
M,48,43,Liceo Scientifico,Liceo Scientifico,2013,79,17.75,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,80,18,28
F,47,14,Liceo Scientifico,Liceo Scientifico,2007,81,24,28
F,48,21,Liceo Scientifico,Liceo Scientifico,2013,86,15.25,28
M,44,60,Liceo Scientifico,Liceo Scientifico,2013,81,16.5,28
M,48,6,Liceo Scientifico,Liceo Scientifico,2013,68,16.75,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2013,70,13.5,28
F,48,24,Liceo Scientifico,Liceo Scientifico,2013,68,13,28
F,51,11,Liceo Scientifico,Liceo Scientifico,2013,60,9.25,28
F,47,17,Liceo Scientifico,Liceo Scientifico,2013,89,12.25,28
M,48,8,Liceo Scientifico,Liceo Scientifico,2013,69,21.5,28
M,47,14,Liceo Scientifico,Liceo Scientifico,2011,61,17,28
F,48,42,Liceo Scientifico,Liceo Scientifico,2013,73,7,28
F,96,41,Liceo Scientifico,Liceo Scientifico,2013,100,20.75,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,68,16.5,28
F,84,12,Liceo Scientifico,Liceo Scientifico,2013,87,9.5,28
M,48,14,Liceo Scientifico,Liceo Scientifico,2013,62,8.25,28
F,48,44,Liceo Scientifico,Liceo Scientifico,2013,87,13.75,28
F,48,43,Liceo Scientifico,Liceo Scientifico,2013,73,18.5,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2012,68,12.75,28
M,47,3,Liceo Scientifico,Liceo Scientifico,2013,70,13.25,28
F,47,9,Liceo Scientifico,Liceo Scientifico,2013,69,13.75,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,78,10.75,28
F,102,15,Liceo Scientifico,Liceo Scientifico,2013,94,11.5,28
F,59,11,Liceo Scientifico,Liceo Scientifico,2013,71,7.75,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,71,13,28
M,100,4,Liceo Scientifico,Liceo Scientifico,2013,82,18,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2013,75,13.5,28
M,48,24,Liceo Scientifico,Liceo Scientifico,2013,62,16,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2013,60,10,28
M,48,1,Liceo Scientifico,Liceo Scientifico,2013,76,21,28
M,26,86,Liceo Scientifico,Liceo Scientifico,2013,75,12.25,28
M,84,33,Liceo Scientifico,Liceo Scientifico,2013,70,12.75,28
M,47,16,Liceo Scientifico,Liceo Scientifico,2013,62,12.75,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2013,88,17.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,75,20.75,28
M,48,30,Liceo Scientifico,Liceo Scientifico,2012,69,13.75,28
M,48,30,Liceo Scientifico,Liceo Scientifico,2013,71,21.5,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2013,78,20.5,28
M,48,43,Liceo Scientifico,Liceo Scientifico,2013,60,13,28
M,100,4,Liceo Scientifico,Liceo Scientifico,2013,81,15,28
M,47,8,Liceo Scientifico,Liceo Scientifico,2013,81,16.25,28
M,48,12,Liceo Scientifico,Liceo Scientifico,2013,70,16.75,28
F,48,44,Liceo Scientifico,Liceo Scientifico,2013,81,23,28
F,100,2,Liceo Scientifico,Liceo Scientifico,2013,92,16,28
F,78,108,Liceo Scientifico,Liceo Scientifico,2013,84,8.75,28
F,51,29,Liceo Scientifico,Liceo Scientifico,2013,90,17.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,62,17.25,28
M,48,14,Liceo Scientifico,Liceo Scientifico,2013,72,13.5,28
F,48,23,Liceo Scientifico,Liceo Scientifico,2013,84,20,28
F,42,3,Liceo Scientifico,Liceo Scientifico,2012,100,18,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2012,68,13.75,28
M,51,9,Liceo Scientifico,Liceo Scientifico,2013,62,14.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,60,16.75,28
F,48,45,Liceo Scientifico,Liceo Scientifico,2013,70,11.75,28
M,51,33,Liceo Scientifico,Liceo Scientifico,2013,100,21,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,75,22,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2012,60,14.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2011,64,14.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,71,15,28
M,53,11,Liceo Scientifico,Liceo Scientifico,2013,75,14.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2012,85,17.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,78,13.75,28
F,51,2,Liceo Scientifico,Liceo Scientifico,2013,70,9.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,66,13,28
M,48,33,Liceo Scientifico,Liceo Scientifico,2013,94,18.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,84,14.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,60,16.5,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,60,14,28
F,37,29,Liceo Scientifico,Liceo Scientifico,2013,73,7.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,78,8.75,28
M,48,4,Liceo Scientifico,Liceo Scientifico,2013,80,16.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,62,13.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,72,15.25,28
M,47,9,Liceo Scientifico,Liceo Scientifico,2013,73,15.25,28
M,48,1,Liceo Scientifico,Liceo Scientifico,2013,60,8,28
F,47,21,Liceo Scientifico,Liceo Scientifico,2013,93,12.5,28
M,47,11,Liceo Scientifico,Liceo Scientifico,2013,61,12.5,28
M,28,60,Liceo Scientifico,Liceo Scientifico,2013,60,14.75,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2011,82,17.75,28
M,51,4,Liceo Scientifico,Liceo Scientifico,2012,83,16,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,75,19.25,28
F,48,1,Liceo Scientifico,Liceo Scientifico,2013,64,9.25,28
M,49,9,Liceo Scientifico,Liceo Scientifico,2011,88,19.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,60,14.25,28
F,51,2,Liceo Scientifico,Liceo Scientifico,2013,100,6,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,72,16,28
M,47,12,Liceo Scientifico,Liceo Scientifico,2013,73,13.5,28
F,48,1,Liceo Scientifico,Liceo Scientifico,2013,78,11,28
M,51,2,Liceo Scientifico,Liceo Scientifico,2013,91,21.75,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,82,18,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2012,66,15.75,28
F,48,1,Liceo Scientifico,Liceo Scientifico,2013,86,14,28
M,51,23,Liceo Scientifico,Liceo Scientifico,2013,61,12,28
M,79,23,Liceo Scientifico,Liceo Scientifico,2012,63,9.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,62,14.25,28
M,47,11,Liceo Scientifico,Liceo Scientifico,2013,66,11.5,28
F,48,42,Liceo Scientifico,Liceo Scientifico,2013,71,15.75,28
M,100,6,Liceo Scientifico,Liceo Scientifico,2013,86,21.75,28
F,65,80,Liceo Scientifico,Liceo Scientifico,2013,89,10.75,28
F,49,15,Liceo Scientifico,Liceo Scientifico,2013,70,6.75,28
M,48,5,Liceo Scientifico,Liceo Scientifico,2013,82,16.25,28
F,48,38,Liceo Scientifico,Liceo Scientifico,2013,88,11,28
M,76,78,Liceo Scientifico,Liceo Scientifico,2013,62,15.5,28
F,48,43,Liceo Scientifico,Liceo Scientifico,2013,66,10.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,67,18.25,28
M,37,22,Liceo Scientifico,Liceo Scientifico,2013,85,16.5,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,94,20.5,28
M,70,15,Liceo Scientifico,Liceo Scientifico,2013,66,19,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,64,18.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,100,22.75,28
M,51,8,Liceo Scientifico,Liceo Scientifico,2013,83,19,28
F,51,12,Liceo Scientifico,Liceo Scientifico,2013,62,17,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,80,12,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,68,18,28
M,50,22,Liceo Scientifico,Liceo Scientifico,2013,100,22,28
F,53,17,Liceo Scientifico,Liceo Scientifico,2013,83,8.25,28
M,48,14,Liceo Scientifico,Liceo Scientifico,2013,64,5,28
F,26,92,Liceo Scientifico,Liceo Scientifico,2013,68,15.25,28
M,47,14,Liceo Scientifico,Liceo Scientifico,2013,77,16.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,66,17,28
M,50,26,Liceo Scientifico,Liceo Scientifico,2013,73,14.75,28
F,51,13,Liceo Scientifico,Liceo Scientifico,2013,70,11.5,28
M,47,3,Liceo Scientifico,Liceo Scientifico,2013,85,21.5,28
M,48,14,Liceo Scientifico,Liceo Scientifico,2013,84,19,28
M,48,16,Liceo Scientifico,Liceo Scientifico,2013,60,15.5,28
M,51,4,Liceo Scientifico,Liceo Scientifico,2013,75,14.75,28
F,53,10,Liceo Scientifico,Liceo Scientifico,2013,75,15.25,28
F,48,16,Liceo Scientifico,Liceo Scientifico,2013,78,15.5,28
F,93,22,Liceo Scientifico,Liceo Scientifico,2011,66,11.5,28
M,80,69,Liceo Scientifico,Liceo Scientifico,2012,64,8.25,28
F,51,29,Liceo Scientifico,Liceo Scientifico,2010,77,15.25,28
M,80,63,Liceo Scientifico,Liceo Scientifico,2013,72,13.25,28
F,65,10,Liceo Scientifico,Liceo Scientifico,2013,77,16.75,28
F,48,35,Liceo Scientifico,Liceo Scientifico,2013,85,16.25,28
M,47,11,Liceo Scientifico,Liceo Scientifico,2013,68,19.5,28
M,47,14,Liceo Scientifico,Liceo Scientifico,2013,76,18.75,28
M,80,69,Liceo Scientifico,Liceo Scientifico,2013,68,12.25,28
F,59,8,Liceo Scientifico,Liceo Scientifico,2013,77,8.25,28
M,48,41,Liceo Scientifico,Liceo Scientifico,2013,62,11.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,66,13.5,28
M,47,14,Liceo Scientifico,Liceo Scientifico,2013,85,15.75,28
F,47,11,Liceo Scientifico,Liceo Scientifico,2012,62,13,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,67,17,28
F,48,30,Liceo Scientifico,Liceo Scientifico,2013,85,18.5,28
M,47,14,Liceo Scientifico,Liceo Scientifico,2013,62,17,28
M,48,21,Liceo Scientifico,Liceo Scientifico,2013,100,14.5,28
M,47,11,Liceo Scientifico,Liceo Scientifico,2012,63,12.75,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,85,21.5,28
M,49,4,Liceo Scientifico,Liceo Scientifico,2011,77,11.25,28
M,59,8,Liceo Scientifico,Liceo Scientifico,2013,62,10,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,65,10.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,84,24,28
M,48,36,Liceo Scientifico,Liceo Scientifico,2011,75,15.25,28
M,49,14,Liceo Scientifico,Liceo Scientifico,2012,78,17.75,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,64,9,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,60,19.5,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,72,13,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,65,11.75,28
F,72,24,Liceo Scientifico,Liceo Scientifico,2013,94,7.25,28
M,48,38,Liceo Scientifico,Liceo Scientifico,2013,80,15.5,28
M,51,8,Liceo Scientifico,Liceo Scientifico,2013,68,11.25,28
M,72,45,Liceo Scientifico,Liceo Scientifico,2013,78,16.25,28
M,46,17,Liceo Scientifico,Liceo Scientifico,2011,88,19,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,72,18,28
F,49,14,Liceo Scientifico,Liceo Scientifico,2013,84,16.75,28
F,51,2,Liceo Scientifico,Liceo Scientifico,2013,71,14,28
M,48,1,Liceo Scientifico,Liceo Scientifico,2013,70,12.5,28
M,48,30,Liceo Scientifico,Liceo Scientifico,2013,74,13.5,28
M,48,43,Liceo Scientifico,Liceo Scientifico,2012,72,16,28
M,48,1,Liceo Scientifico,Liceo Scientifico,2013,78,15.5,28
F,48,5,Liceo Scientifico,Liceo Scientifico,2013,81,14.5,28
M,48,14,Liceo Scientifico,Liceo Scientifico,2012,67,16.75,28
M,54,13,Liceo Scientifico,Liceo Scientifico,2013,85,9.5,28
M,48,43,Liceo Scientifico,Liceo Scientifico,2013,61,14.5,28
F,100,5,Liceo Scientifico,Liceo Scientifico,2013,70,12.25,28
M,64,61,Liceo Scientifico,Liceo Scientifico,2013,76,14.5,28
F,48,1,Liceo Scientifico,Liceo Scientifico,2013,87,16,28
F,48,17,Liceo Scientifico,Liceo Scientifico,2013,85,20.5,28
F,47,17,Liceo Scientifico,Liceo Scientifico,2013,73,14,28
M,51,12,Liceo Scientifico,Liceo Scientifico,2013,76,16.25,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,62,12.25,28
M,48,17,Liceo Scientifico,Liceo Scientifico,2013,60,16.75,28
F,48,38,Liceo Scientifico,Liceo Scientifico,2013,71,19.25,28
M,39,1,Liceo Scientifico,Liceo Scientifico,2012,81,23,28
M,53,6,Liceo Scientifico,Liceo Scientifico,0,90,17.75,28
M,100,5,Liceo Scientifico,Liceo Scientifico,2013,94,19.75,28
M,88,9,Liceo Scientifico,Liceo Scientifico,2013,72,14.25,28
F,65,25,Liceo Scientifico,Liceo Scientifico,2013,99,13,28
F,48,25,Liceo Scientifico,Liceo Scientifico,2013,95,12,28
M,47,13,Liceo Scientifico,Liceo Scientifico,2013,72,19.75,28
M,48,1,Liceo Scientifico,Liceo Scientifico,2013,65,8.75,28
F,63,23,Liceo Scientifico,Liceo Scientifico,2012,95,14.25,28
