sesso,prov,comune,istituto,tipo,annomat,votomat,score,idtest
F,51,39,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,97,19,28
F,47,8,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,87,8,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,78,9.5,28
F,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,62,16.5,28
F,47,6,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,68,13.25,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,75,8.5,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,82,11.5,28
F,51,32,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,4,28
F,47,20,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,82,12.75,28
F,51,33,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,73,12.5,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,87,12.75,28
F,47,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,92,13.5,28
F,48,33,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,76,9.25,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,92,15,28
F,48,30,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,16.25,28
F,47,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,72,9.5,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2009,78,13,28
M,48,50,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,83,16,28
M,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,76,10,28
M,48,10,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,92,6.5,28
F,89,1,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,65,10,28
F,48,16,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,85,15.25,28
F,51,39,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,11.25,28
F,53,6,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,74,8.75,28
